Galaxy Name,m-M,err,D,Method,REFCODE,RA,Dec,GLON,GLAT,Type (RC3),Vgsr (RC3)
,(mag),(mag),(Mpc),,,(J2000),(J2000),,,,(km/s)
NGC 4162,32.14,0.27,26.8,Sosies,2002A&A...393...57T,11:52.5,+240:7:25.2,229.4,80.6,RSAT4,2545
NGC 4163,27.36,...,2.96,TRGB,2006AJ....131.1361K,12:09.2,+36:10:09.1,163.2,77.7,IA.9,183
NGC 4163,27.75,...,3.55,BS,1998A&AS..128..325T,12:09.2,+36:10:09.1,163.2,77.7,IA.9,183
NGC 4168,32.45,0.42,30.9,SBF,2001ApJ...546..681T,12:17.3,+13:12:18.7,267.7,73.3,E.2,2224
NGC 4190,27.7,...,3.47,BS,1998A&AS..128..325T,13:44.7,+36:38:02.9,160.6,77.6,I..9P,251
ESO 321- G 014,27.52,...,3.2,TRGB,2002A&A...385...21K,13:49.6,-38:13:52.9,294.9,24,IB.9,428
NGC 4193,32.86,0.1,37.3,Sosies,2002A&A...393...57T,13:53.6,+13:10:22.2,268.9,73.5,SXS5*$,2415
"UGC 07242; kkh 077",28.67,...,5.42,TRGB,2006AJ....131.1361K,14:08.4,+66:05:41.0,128.9,50.6,S..6*,185
"DDO 113; KDG 090",27.28,0.11,2.86,TRGB,2002A&A...389..812K,14:57.9,+36:13:07.8,161.1,78.1,I..9*,304
"DDO 113; KDG 090",27.44,0.18,3.1,SBF,2001A&A...380...90J,14:57.9,+36:13:07.8,161.1,78.1,I..9*,304
"DDO 113; KDG 090",28.06,...,4.09,BS,1997AstL...23..378M,14:57.9,+36:13:07.8,161.1,78.1,I..9*,304
NGC 4203,30.49,0.1,12.5,GCLF,2001AJ....122.1251K,15:05.0,+33:11:50.2,173,80.1,LX.-*,1096
NGC 4203,30.9,0.18,15.1,SBF,2001ApJ...546..681T,15:05.0,+33:11:50.2,173,80.1,LX.-*,1096
IC 3065,30.7,...,13.8,GC radius,2005ApJ...634.1002J,15:12.6,+14:25:58.3,267.5,74.8,L?,1018
ESO 380- G 006,32.34,0.08,29.4,Sosies,2002A&A...393...57T,15:34.3,-35:37:47.1,294.8,26.7,PSAS3*,2758
