Galaxy Name,m-M,err,D,Method,REFCODE,RA,Dec,GLON,GLAT,Type (RC3),Vgsr (RC3)
,(mag),(mag),(Mpc),,,(J2000),(J2000),,,,(km/s)
UGC 03432,34.62,0.14,83.9,SNIa,2005ApJ...624..532R,16:13.6,+57:03:05.4,157.3,18,S..6*,5077
NGC 2146,32.21,0.4,27.7,Sosies,2002A&A...393...57T,18:37.7,+78:21:25.3,135.7,24.9,SBS2P,1035
NGC 2146,30.89,...,15.1,Tully-Fisher,LEDA [April 2006],18:37.7,+78:21:25.3,135.7,24.9,SBS2P,1035
UGCA 127,30.67,0.16,13.6,Sosies,2002A&A...393...57T,20:55.7,-08:29:44.2,217.1,-10.6,S..6?,588
MCG -03-17-002,32.22,0.51,27.8,Sosies,2002A&A...393...57T,21:05.6,-20:02:54.3,227.9,-15.5,SBS1P,1807
ESO 121- G 026,32.82,0.17,36.6,Sosies,2002A&A...393...57T,21:38.8,-59:44:23.7,268.9,-26.9,SBT4,2054
UGC 03459,33.43,0.2,48.5,Sosies,2002A&A...393...57T,23:59.9,+04:42:38.7,205.6,-3.9,S..6?,2765
ESO 489 -G 056,28.49,...,4.99,TRGB,2003A&A...398..479K,26:17.0,-26:15:56.2,234.3,-16.8,dw Irr?,305
UGC 03476,29.23,0.2,7.01,BS,1998A&AS..133..181M,30:29.2,+33:18:07.2,180.8,10.5,I..9*,458
ESO 490- G 017,28.13,0.23,4.23,TRGB,2003A&A...398..479K,37:57.1,-26:00:03.1,235.1,-14.3,IXS9?,307
Carina Dwarf,20.06,0.12,0.103,Cepheids,1998AJ....115.1856M,41:36.7,-50:57:58.3,260.1,-22.2,DE.3,13
Carina Dwarf,19.94,0.08,0.097,TRGB,2000AcA....50..279U,41:36.7,-50:57:58.3,260.1,-22.2,DE.3,13
Carina Dwarf,20,...,0.1,TRGB,2000glg..book.....V,41:36.7,-50:57:58.3,260.1,-22.2,DE.3,13
Carina Dwarf,19.93,0.08,0.097,RR Lyrae,2000AcA....50..279U,41:36.7,-50:57:58.3,260.1,-22.2,DE.3,13
Carina Dwarf,20.19,0.12,0.109,RR Lyrae,2004MmSAI..75..194F,41:36.7,-50:57:58.3,260.1,-22.2,DE.3,13
Carina Dwarf,19.96,0.08,0.098,Red Clump,2000AcA....50..279U,41:36.7,-50:57:58.3,260.1,-22.2,DE.3,13
Carina Dwarf,19.87,0.11,0.094,CMD,1997AJ....114.1458M,41:36.7,-50:57:58.3,260.1,-22.2,DE.3,13
NGC 2271,32.51,0.28,31.8,SBF,2001ApJ...546..681T,42:52.9,-23:28:33.6,233.2,-12.2,LX.-,2408
NGC 2271,32.64,0.28,33.7,SBF,2001MNRAS.327.1004B,42:52.9,-23:28:33.6,233.2,-12.2,LX.-,2408
NGC 2271,32.33,0.41,29.3,FP,2001MNRAS.327.1004B,42:52.9,-23:28:33.6,233.2,-12.2,LX.-,2408
UGC 03524,33.44,0.14,48.8,Sosies,2002A&A...393...57T,44:00.6,+12:24:07.0,201,4,S?,3906
MCG-05-16-21,33.05*,0.19,40.4,SNIa,2006ApJ...645..488W,45:46.7,-31:13:49.4,240.8,-14.8,Sc,2603
NGC 2293,31.16,0.41,17.1,SBF,2001ApJ...546..681T,47:42.9,-26:45:15.7,236.7,-12.6,LXS+P,1782
NGC 2293,31.48,0.41,19.8,SBF,2001MNRAS.327.1004B,47:42.9,-26:45:15.7,236.7,-12.6,LXS+P,1782
NGC 2293,32.96,0.41,39.2,FP,2001MNRAS.327.1004B,47:42.9,-26:45:15.7,236.7,-12.6,LXS+P,1782
kkh 037,27.65,...,3.39,TRGB,2006AJ....131.1361K,47:45.8,+80:07:26.0,134,26.5,S/Irr,2
NGC 2258,33.56,0.15,51.5,SBF,2001ApJ...559..584A,47:45.8,+74:28:54.0,140.2,25.8,LAR0,4132
NGC 2258,33.77*,0.19,56,SNIa,2006ApJ...645..488W,47:45.8,+74:28:54.0,140.2,25.8,LAR0,4132
NGC 2258,33.871*,0.032,58.7,SNIa,2006ApJ...647..501P,47:45.8,+74:28:54.0,140.2,25.8,LAR0,4132
NGC 2258,34.02*,0.26,62.8,SNIa,2004ApJ...607..665R,47:45.8,+74:28:54.0,140.2,25.8,LAR0,4132
NGC 2258,34.38,0.14,75.2,SNIa,2005ApJ...624..532R,47:45.8,+74:28:54.0,140.2,25.8,LAR0,4132
NGC 2273,32.5,0.39,31.6,Sosies,2002A&A...393...57T,50:08.7,+60:50:44.9,155,23.3,SBR1*,1926
UGC 03576,34.752*,0.048,87.5,SNIa,2006ApJ...647..501P,53:07.0,+50:02:02.6,166.3,20.7,SBS3,5994
UGC 03576,35.17,0.14,108,SNIa,2005ApJ...624..532R,53:07.0,+50:02:02.6,166.3,20.7,SBS3,5994
UGC 03600,29.3,0.2,7.2,BS,1998A&AS..133..181M,55:40.0,+39:05:42.8,177.4,17.5,I..9*,402
HIZSS 003,26.12,0.14,1.69,TRGB,2005ApJ...623..148S,00:29.3,-04:12:30.0,217.7,0.1,,151
UGC 03630,32.1,0.09,26.3,Sosies,2002A&A...393...57T,01:03.3,+01:54:40.6,212.3,3,SXR3?,1643
NGC 2325,32.04,0.16,25.6,SBF,2001ApJ...546..681T,02:40.5,-28:41:50.5,240,-10.4,E.4,1956
NGC 2325,32.09,0.16,26.1,SBF,2001MNRAS.327.1004B,02:40.5,-28:41:50.5,240,-10.4,E.4,1956
NGC 2325,31.69,0.41,21.7,FP,2001MNRAS.327.1004B,11:00.5,-28:41:50.5,240,-10.4,E.4,1956
Argo Dwarf,28.45,...,4.9,TRGB,2003A&A...398..479K,05:18.8,-58:31:13.0,269,-21.1,SBS9,344
NGC 2320,34.47*,0.038,76.8,SNIa,2006ApJ...647..501P,05:42.0,+50:34:51.8,166.4,22.8,E,5770
NGC 2320,34.59*,0.23,81.2,SNIa,2004ApJ...607..665R,05:42.0,+50:34:51.8,166.4,22.8,E,5770
NGC 2320,34.82,0.14,92,SNIa,2005ApJ...624..532R,05:42.0,+50:34:51.8,166.4,22.8,E,5770
UGC 03691,32.45,0.13,30.9,Sosies,2002A&A...393...57T,08:01.3,+15:10:42.3,201.1,10.5,SA.6,2113
NGC 2339,32.46,0.23,31,Sosies,2002A&A...393...57T,08:20.5,+18:46:48.9,197.8,12.1,SXT4,2131
UGC 03698,29.3,0.2,7.2,BS,1998A&AS..133..181M,09:18.8,+44:22:48.2,173,21.6,I..9*,447
ESO 491- G 020,33.53,0.37,50.8,Sosies,2002A&A...393...57T,09:48.1,-27:34:15.2,239.6,-8.5,SBT3*P,2752
NGC 2337,29.48,0.2,7.87,BS,1998A&AS..133..181M,10:13.6,+44:27:26.3,172.9,21.8,IB.9,455
EXO 0706.1+5913,38.88,...,531,BL LAC M,2005ApJ...635..173S,10:30.1,+59:08:19.6,157.4,25.4,BLLAC,35150
UGC 03755,28.49,0.07,4.98,TRGB,2002AJ....124..213M,13:51.6,+10:31:19.0,206,9.7,I..9,216
UGC 03755,28.59,...,5.22,TRGB,2003A&A...398..479K,13:51.6,+10:31:19.0,206,9.7,I..9,216
UGC 03755,28.08,0.39,4.13,BS,1997AstL...23..656G,13:51.6,+10:31:19.0,206,9.7,I..9,216
NGC 2268,32.53,0.14,32.1,SNIa,2005ApJ...624..532R,14:17.4,+84:22:56.2,129.2,27.5,SXR4,2380
NGC 2268,32.34,0.23,29.4,Sosies,2002A&A...393...57T,14:17.4,+84:22:56.2,129.2,27.5,SXR4,2380
UGC 03770,34.81*,0.25,89.7,SNIa,2006ApJ...645..488W,15:29.6,+23:25:34.5,194.2,15.5,I..9,6317
UGC 03770,34.925*,0.029,94.6,SNIa,2006ApJ...647..501P,15:29.6,+23:25:34.5,194.2,15.5,I..9,6317
UGC 03770,34.941*,0.101,95.3,SNIa,2006A&A...447...31A,15:29.6,+23:25:34.5,194.2,15.5,I..9,6317
UGC 03770,35.06*,0.21,101,SNIa,2004ApJ...607..665R,15:29.6,+23:25:34.5,194.2,15.5,I..9,6317
UGC 03770,35.29,0.14,114,SNIa,2005ApJ...624..532R,15:29.6,+23:25:34.5,194.2,15.5,I..9,6317
NGC 2365,33.06,0.11,40.9,Sosies,2002A&A...393...57T,22:22.6,+22:04:59.8,196.1,16.4,SX.1,2210
UGC 3817,29.66,0.2,8.55,BS,1998A&AS..133..181M,22:44.5,+45:06:30.7,172.9,24.1,I..9*,459
NGC 2380,32.05,0.35,25.7,SBF,2001ApJ...546..681T,23:54.8,-27:31:44.6,241,-5.7,LX.0*,1575
NGC 2380,32.27,0.35,28.5,SBF,2001MNRAS.327.1004B,23:54.8,-27:31:44.6,241,-5.7,LX.0*,1575
NGC 2380,31.56,0.41,20.5,FP,2001MNRAS.327.1004B,23:54.8,-27:31:44.6,241,-5.7,LX.0*,1575
UGC 03845,33.27*,0.26,44.6,SNIa,2006ApJ...645..488W,26:42.7,+47:05:38.3,171,25.3,SBS4,3060
UGC 03845,33.508*,0.064,49.8,SNIa,2006ApJ...647..501P,26:42.7,+47:05:38.3,171,25.3,SBS4,3060
UGC 03845,33.73*,0.33,55.2,SNIa,2004ApJ...607..665R,26:42.7,+47:05:38.3,171,25.3,SBS4,3060
UGC 03845,33.74,0.14,56,SNIa,2005ApJ...624..532R,26:42.7,+47:05:38.3,171,25.3,SBS4,3060
MCG -01-19-002,33.9,0.49,60.3,Sosies,2002A&A...393...57T,26:53.6,-07:32:51.0,223.7,4.4,S,2324
"DDO 043; UGC 03860",29.46,...,7.81,TRGB,2004AJ....127.2031K,28:17.4,+40:46:11.2,177.8,23.9,I..9,356
"DDO 043; UGC 03860",28.79,0.2,5.73,BS,1998A&AS..133..181M,28:17.4,+40:46:11.2,177.8,23.9,I..9,356
"DDO 043; UGC 03860",29.23,0.39,7.01,BS,1997AstL...23..656G,28:17.4,+40:46:11.2,177.8,23.9,I..9,356
"NGC 2366; DDO 042",27.68,0.2,3.44,Cepheids,1995AJ....110.1640T,28:54.7,+69:12:56.8,146.4,28.5,IBS9,209
"NGC 2366; DDO 042",27.48,...,3.13,TRGB,2006Ap.....49....3K,28:54.7,+69:12:56.8,146.4,28.5,IBS9,209
"NGC 2366; DDO 042",27.52,0.28,3.19,TRGB,2002A&A...383..125K,28:54.7,+69:12:56.8,146.4,28.5,IBS9,209
"NGC 2366; DDO 042",27.86,0.2,3.73,RSV stars,1998AAS...193.2104J,28:54.7,+69:12:56.8,146.4,28.5,IBS9,209
NGC 2389,34.01,0.29,63.4,Sosies,2002A&A...393...57T,29:04.7,+33:51:39.5,185,22,SXT5,3931
UGC 03876,32.56,0.49,32.5,Sosies,2002A&A...393...57T,29:17.5,+27:53:58.3,191,20,SAS7,812
IC 0467,31.97,0.23,24.8,Sosies,2002A&A...393...57T,30:18.4,+79:52:21.1,134.3,28.4,SXS5*,2187
ESO 059- G 001,28.3,...,4.57,TRGB,2006AJ....131.1361K,31:18.2,-68:11:16.8,279.8,-21.5,IBS9,316
ESO 208- G 021,30.66,0.2,13.6,SBF,2001ApJ...546..681T,33:56.3,-50:26:34.9,262.7,-14.3,LX.-,812
ESO 208- G 021,30.72,0.2,13.9,SBF,2001MNRAS.327.1004B,33:56.3,-50:26:34.9,262.7,-14.3,LX.-,812
ESO 208- G 021,31.5,0.41,20,FP,2001MNRAS.327.1004B,33:56.3,-50:26:34.9,262.7,-14.3,LX.-,812
NGC 2434,31.67,0.29,21.6,SBF,2001ApJ...546..681T,34:51.2,-69:17:02.9,281,-21.5,E.0+,1178
NGC 2434,31.73,0.29,22.2,SBF,2001MNRAS.327.1004B,34:51.2,-69:17:02.9,281,-21.5,E.0+,1178
NGC 2434,31.96,0.41,24.6,FP,2001MNRAS.327.1004B,34:51.2,-69:17:02.9,281,-21.5,E.0+,1178
NGC 2410,34.05,0.4,64.6,Sosies,2002A&A...393...57T,35:02.3,+32:49:19.6,186.5,22.9,SB.3?,4647
NGC 2403,27.3,...,2.88,Cepheids,1991MNRAS.250..438M,36:51.4,+65:36:09.2,150.6,29.2,SXS6,226
NGC 2403,27.43,0.15,3.06,Cepheids,2006ApJS..165..108S,36:51.4,+65:36:09.2,150.6,29.2,SXS6,226
NGC 2403,27.48,0.24,3.13,Cepheids,2001ApJ...553...47F,36:51.4,+65:36:09.2,150.6,29.2,SXS6,226
NGC 2403,27.51,0.24,3.18,Cepheids,1991PASP..103..933M,36:51.4,+65:36:09.2,150.6,29.2,SXS6,226
NGC 2403,27.54,0.24,3.22,Cepheids,2001ApJ...553...47F,36:51.4,+65:36:09.2,150.6,29.2,SXS6,226
NGC 2403,27.59,...,3.3,Cepheids,1988ApJ...332L..63F,36:51.4,+65:36:09.2,150.6,29.2,SXS6,226
NGC 2403,27.51,0.24,3.18,TRGB,2003AJ....125.3046D,36:51.4,+65:36:09.2,150.6,29.2,SXS6,226
NGC 2403,27.65,0.17,3.39,PNLF,2002ApJ...577...31C,36:51.4,+65:36:09.2,150.6,29.2,SXS6,226
NGC 2403,27.59,...,3.3,Tully-Fisher,2003astro.ph.10284R,36:51.4,+65:36:09.2,150.6,29.2,SXS6,226
NGC 2403,27.75,...,3.55,Tully-Fisher,LEDA [April 2006],36:51.4,+65:36:09.2,150.6,29.2,SXS6,226
NGC 2403,27.93,...,3.85,Tully-Fisher,2003astro.ph.10284R,36:51.4,+65:36:09.2,150.6,29.2,SXS6,226
NGC 2403,27.72,...,3.5,SNII optical,2006MNRAS.369.1780V,36:51.4,+65:36:09.2,150.6,29.2,SXS6,226
NGC 2403,27.82,...,3.66,SNII optical,2006MNRAS.369.1780V,36:51.4,+65:36:09.2,150.6,29.2,SXS6,226
NGC 2403,27.67,0.16,3.42,RSV stars,1998AAS...193.2104J,36:51.4,+65:36:09.2,150.6,29.2,SXS6,226
CGMW 2-1040,34.46,0.46,78,Sosies,2002A&A...393...57T,38:00.4,-16:58:45.0,233.3,2.2,S,2968
"DDO 046; UGC 03966",29.18,0.39,6.85,BS,1997AstL...23..656G,41:26.0,+40:06:44.0,179.2,26.2,I..9,359
ZOAG245.14-3.56,32.19,0.23,27.4,Sosies,2002A&A...393...57T,41:28.2,-30:06:43.9,245.1,-3.6,S,1894
"DDO 047; UGC 03974",28.57,0.25,5.18,TRGB,2003A&A...398..479K,41:55.4,+16:48:09.0,203.1,18.5,IBS9,179
"DDO 047; UGC 03974",28.15,...,4.27,BS,1997AstL...23..514G,41:55.4,+16:48:09.0,203.1,18.5,IBS9,179
[MH92d] 074119.0-622406,35.893*,0.057,146,SNIa,2006ApJ...647..501P,41:57.0,-62:31:10.0,274.6,-18.3,Sa,10377
[MH92d] 074119.0-622406,35.94*,0.19,149,SNIa,2006ApJ...645..488W,41:57.0,-62:31:10.0,274.6,-18.3,Sa,10377
[MH92d] 074119.0-622406,36.17*,0.19,165,SNIa,2004ApJ...607..665R,41:57.0,-62:31:10.0,274.6,-18.3,Sa,10377
[MH92d] 074119.0-622406,36.31,0.14,183,SNIa,2005ApJ...624..532R,41:57.0,-62:31:10.0,274.6,-18.3,Sa,10377
[KK98] 065,28.27,...,4.51,TRGB,2003A&A...398..479K,42:31.2,+16:33:40.3,203.4,18.6,dw Irr,186
NGC 2441,32.929*,0.045,38.1,SNIa,2006ApJ...647..501P,51:54.7,+73:00:56.5,142,30.3,SXR3*,3600
NGC 2441,32.96*,0.29,38.6,SNIa,2004ApJ...607..665R,51:54.7,+73:00:56.5,142,30.3,SXR3*,3600
NGC 2441,33.141*,0.055,42,SNIa,2006ApJ...647..501P,51:54.7,+73:00:56.5,142,30.3,SXR3*,3600
NGC 2441,33.49*,0.24,49.3,SNIa,2006ApJ...645..488W,51:54.7,+73:00:56.5,142,30.3,SXR3*,3600
NGC 2441,33.82,0.14,58.1,SNIa,2005ApJ...624..532R,51:54.7,+73:00:56.5,142,30.3,SXR3*,3600
CGCG 236-015 NED01,36.67,0.16,206,SNIa,2004ApJ...607..665R,56:40.4,+44:52:11.3,174.6,29.9,,14699
NGC 2460,33.02,0.35,40.2,Sosies,2002A&A...393...57T,56:52.3,+60:20:57.8,156.7,31.4,SAS1,1525
UGC 04115,28.7,0.23,5.49,TRGB,2003A&A...398..479K,57:01.8,+14:23:27.0,207,20.9,IA.9,235
UGC 04115,28.61,0.39,5.27,BS,1997AstL...23..656G,57:01.8,+14:23:27.0,207,20.9,IA.9,235
UGC 04195,34.170*,0.037,67.1,SNIa,2006ApJ...647..501P,05:06.9,+66:46:58.5,149.1,32,SBR3,4986
UGC 04195,34.45*,0.28,76.4,SNIa,2006ApJ...645..488W,05:06.9,+66:46:58.5,149.1,32,SBR3,4986
UGC 04195,34.47*,0.23,77.1,SNIa,2004ApJ...607..665R,05:06.9,+66:46:58.5,149.1,32,SBR3,4986
UGC 04195,34.84,0.14,92.9,SNIa,2005ApJ...624..532R,05:06.9,+66:46:58.5,149.1,32,SBR3,4986
NGC 2537,29.19,...,6.88,BS,1999AstL...25..322S,13:14.6,+45:59:23.3,173.8,33,SBS9P,464
IC 2233,30.09,0.08,10.4,TRGB,2006astro.ph..3457T,13:58.9,+45:44:31.7,174.1,33.1,SBS7*/,577
NGC 2541,30.25,0.05,11.2,Cepheids,2001ApJ...553...47F,14:40.1,+49:03:41.2,170.2,33.5,SAS6,586
NGC 2541,30.25,0.05,11.2,Cepheids,2001ApJ...553...47F,14:40.1,+49:03:41.2,170.2,33.5,SAS6,586
NGC 2541,30.32,0.08,11.6,Cepheids,2001ApJ...548..564W,14:40.1,+49:03:41.2,170.2,33.5,SAS6,586
NGC 2541,30.33,0.06,11.6,Cepheids,2002A&A...389...19P,14:40.1,+49:03:41.2,170.2,33.5,SAS6,586
NGC 2541,30.35,0.07,11.7,Cepheids,2003A&A...411..361K,14:40.1,+49:03:41.2,170.2,33.5,SAS6,586
NGC 2541,30.36,0.07,11.8,Cepheids,2003A&A...411..361K,14:40.1,+49:03:41.2,170.2,33.5,SAS6,586
NGC 2541,30.38,0.07,11.9,Cepheids,2003A&A...411..361K,14:40.1,+49:03:41.2,170.2,33.5,SAS6,586
NGC 2541,30.39,0.16,12,Cepheids,2002A&A...389...19P,14:40.1,+49:03:41.2,170.2,33.5,SAS6,586
NGC 2541,30.43,0.07,12.2,Cepheids,2003A&A...411..361K,14:40.1,+49:03:41.2,170.2,33.5,SAS6,586
NGC 2541,30.46,0.07,12.4,Cepheids,2003A&A...411..361K,14:40.1,+49:03:41.2,170.2,33.5,SAS6,586
NGC 2541,30.46,0.08,12.4,Cepheids,2003A&A...411..361K,14:40.1,+49:03:41.2,170.2,33.5,SAS6,586
NGC 2541,30.47,0.07,12.4,Cepheids,2002A&A...389...19P,14:40.1,+49:03:41.2,170.2,33.5,SAS6,586
NGC 2541,30.47,0.08,12.4,Cepheids,1998ApJ...507..655F,14:40.1,+49:03:41.2,170.2,33.5,SAS6,586
NGC 2541,30.5,0.06,12.6,Cepheids,2006ApJS..165..108S,14:40.1,+49:03:41.2,170.2,33.5,SAS6,586
NGC 2541,30.54,0.08,12.8,Cepheids,2003A&A...411..361K,14:40.1,+49:03:41.2,170.2,33.5,SAS6,586
NGC 2541,30.32,...,11.6,Tully-Fisher,2003astro.ph.10284R,14:40.1,+49:03:41.2,170.2,33.5,SAS6,586
NGC 2541,30.35,...,11.7,Tully-Fisher,2003astro.ph.10284R,14:40.1,+49:03:41.2,170.2,33.5,SAS6,586
NGC 2523,32.92,0.28,38.4,Sosies,2002A&A...393...57T,15:00.1,+73:34:44.3,141,31.8,SBR4,3537
NGC 2559,31.09,0.25,16.5,Sosies,2002A&A...393...57T,17:06.1,-27:27:21.0,247,4.5,SBS4P*,1344
NGC 2559,31.66,...,21.5,Tully-Fisher,LEDA [April 2006],17:06.1,-27:27:21.0,247,4.5,SBS4P*,1344
IC 2311,31.84,0.2,23.3,SBF,2001ApJ...546..681T,18:45.9,-25:22:11.1,245.4,6,E.0.*,1631
NGC 2549,30.51,0.28,12.6,SBF,2001ApJ...546..681T,18:58.3,+57:48:11.1,159.7,34.2,LAR0./,1133
"DDO 050; UGC 04305",27.42,...,3.05,Cepheids,1998AJ....115..573H,19:05.0,+70:43:12.1,144.3,32.7,I..9,269
"DDO 050; UGC 04305",27.65,0.13,3.39,TRGB,2002A&A...383..125K,19:05.0,+70:43:12.1,144.3,32.7,I..9,269
"DDO 050; UGC 04305",28.02,0.39,4.02,BS,1997AstL...23..656G,19:05.0,+70:43:12.1,144.3,32.7,I..9,269
"DDO 050; UGC 04305",27.15,...,2.69,Tully-Fisher,LEDA [April 2006],19:05.0,+70:43:12.1,144.3,32.7,I..9,269
[P94a] 081751.35+155320.5,38.50*,0.17,460,SNIa,2004ApJ...607..665R,20:40.6,+15:43:44.4,208.1,26.7,,25397
KDG 052,27.75,0.16,3.55,TRGB,2002A&A...383..125K,23:56.0,+71:01:45.0,143.8,33,I?,227
IC 2367,31.99,0.33,25,Sosies,2002A&A...393...57T,24:10.1,-18:46:32.0,240.6,10.7,SBR3,2246
NGC 2592,32.05,0.43,25.7,SBF,2001ApJ...546..681T,27:08.1,+25:58:13.2,197.7,31.6,E,1925
NGC 2595,34.20*,0.19,68.2,SNIa,2006ApJ...645..488W,27:41.9,+21:28:44.2,202.7,30.3,SXT5,4250
NGC 2595,34.215*,0.023,68.7,SNIa,2006ApJ...647..501P,27:41.9,+21:28:44.2,202.7,30.3,SXT5,4250
NGC 2595,34.53,0.3,80.5,SNIa,2005ApJ...624..532R,27:41.9,+21:28:44.2,202.7,30.3,SXT5,4250
NGC 2595,34.58*,0.24,81.1,SNIa,2004ApJ...607..665R,27:41.9,+21:28:44.2,202.7,30.3,SXT5,4250
"DDO 052; UGC 04426",30.06,...,10.3,TRGB,2006AJ....131.1361K,28:28.4,+41:51:24.1,179.1,35.2,I..9*,393
"DDO 052; UGC 04426",28.76,0.2,5.6,BS,1998A&AS..133..181M,28:28.4,+41:51:24.1,179.1,35.2,I..9*,393
DDO 053,27.76,0.15,3.56,TRGB,2002A&A...383..125K,34:07.2,+66:10:54.0,149.3,34.9,I..9,114
UGC 04483,27.53,0.12,3.2,TRGB,2001MNRAS.324..249D,37:03.0,+69:46:31.0,145,34.4,,108
NGC 2619,33.69,0.16,54.7,Sosies,2002A&A...393...57T,37:32.7,+28:42:18.7,195.3,34.6,S..4,3420
NGC 2623,34.451*,0.074,76.3,SNIa,2006ApJ...647..501P,38:24.1,+25:45:16.9,198.8,34,P,5464
NGC 2623,34.55*,0.25,79.8,SNIa,2006ApJ...645..488W,38:24.1,+25:45:16.9,198.8,34,P,5464
NGC 2623,35.05,0.14,102,SNIa,2005ApJ...624..532R,38:24.1,+25:45:16.9,198.8,34,P,5464
NGC 2634,32.62,0.68,33.4,SBF,2001ApJ...546..681T,48:25.4,+73:58:01.8,139.8,33.9,E.1.*,2390
NGC 2634,33.28,0.68,45.2,SBF,2001MNRAS.327.1004B,48:25.4,+73:58:01.8,139.8,33.9,E.1.*,2390
NGC 2634,33.59,0.41,52.2,FP,2001MNRAS.327.1004B,48:25.4,+73:58:01.8,139.8,33.9,E.1.*,2390
UGC 04640,33.65,0.14,53.7,Sosies,2002A&A...393...57T,51:43.8,-02:08:02.6,229.8,25.4,SXT5*,3154
NGC 2683,29.44,0.36,7.73,SBF,2001ApJ...546..681T,52:41.4,+33:25:18.5,190.5,38.8,SAT3,370
NGC 2683,29.81,...,9.2,BS,2000A&AS..142..425D,52:41.4,+33:25:18.5,190.5,38.8,SAT3,370
NGC 2683,30.56,...,12.9,Tully-Fisher,LEDA [April 2006],52:41.4,+33:25:18.5,190.5,38.8,SAT3,370
NGC 2681,31.18,0.34,17.2,SBF,2001ApJ...546..681T,53:32.7,+51:18:49.3,167.3,39.7,PSXT0,725
NGC 2695,32.55,0.4,32.3,SBF,2001ApJ...546..681T,54:27.1,-03:04:01.3,231,25.5,LXS0?,1660
NGC 2695,32.56,0.4,32.6,SBF,2001MNRAS.327.1004B,54:27.1,-03:04:01.3,231,25.5,LXS0?,1660
NGC 2695,33.01,0.41,40,FP,2001MNRAS.327.1004B,54:27.1,-03:04:01.3,231,25.5,LXS0?,1660
CGCG 180-022,35.256*,0.062,110,SNIa,2006ApJ...647..501P,54:31.8,+36:30:34.5,186.6,39.6,,7497
CGCG 180-022,35.41*,0.2,118,SNIa,2004ApJ...607..665R,54:31.8,+36:30:34.5,186.6,39.6,,7497
CGCG 180-022,35.37,0.14,119,SNIa,2005ApJ...624..532R,54:31.8,+36:30:34.5,186.6,39.6,,7497
NGC 2699,32.15,0.27,26.9,SBF,2001ApJ...546..681T,55:48.8,-03:07:39.3,231.3,25.7,E...*,1660
NGC 2699,32.21,0.27,27.8,SBF,2001MNRAS.327.1004B,55:48.8,-03:07:39.3,231.3,25.7,E...*,1660
NGC 2699,32.06,0.41,25.9,FP,2001MNRAS.327.1004B,55:48.8,-03:07:39.3,231.3,25.7,E...*,1660
NGC 2708,33.32,0.15,46.1,Sosies,2002A&A...393...57T,56:08.1,-03:21:36.4,231.6,25.7,SXS3P?,1843
NGC 2706,33.61,0.23,52.7,Sosies,2002A&A...393...57T,56:12.3,-02:33:48.4,230.8,26.1,S..4?/,1468
LSBC D564-08,29.69,...,8.67,TRGB,2006AJ....131.1361K,02:53.8,+20:04:32.0,207.6,37.6,dI,401
NGC 2772,34.51,0.25,79.8,Sosies,2002A&A...393...57T,07:41.9,-23:37:17.1,250.8,15.9,S.3*P/,3214
NGC 2715,31.97,0.08,24.8,Sosies,2002A&A...393...57T,08:06.2,+78:05:06.6,134.7,33.3,SXT5,1456
LSBC D634-03,29.9,...,9.46,TRGB,2006AJ....131.1361K,08:53.5,+14:34:55.0,214.7,36.9,dI,211
NGC 2756,33.59,0.47,52.2,Sosies,2002A&A...393...57T,09:00.1,+53:50:58.3,163.6,41.7,S..3,4066
NGC 2768,31.57,0.22,20.6,GCLF,2001AJ....122.1251K,11:37.5,+60:02:14.0,155.5,40.6,E.6.*,1406
NGC 2768,31.75,0.24,22.4,SBF,2001ApJ...546..681T,11:37.5,+60:02:14.0,155.5,40.6,E.6.*,1406
NGC 2768,31.81,0.24,23,SBF,2001MNRAS.327.1004B,11:37.5,+60:02:14.0,155.5,40.6,E.6.*,1406
NGC 2768,30.64,...,13.4,FP,LEDA [April 2006],11:37.5,+60:02:14.0,155.5,40.6,E.6.*,1406
NGC 2768,31.16,0.41,17,FP,2001MNRAS.327.1004B,11:37.5,+60:02:14.0,155.5,40.6,E.6.*,1406
NGC 2784,29.96,0.25,9.8,SBF,2001ApJ...546..681T,12:19.5,-24:10:21.4,252,16.4,LAS0*,478
NGC 2784,30.75,...,14.1,FP,LEDA [April 2006],12:19.5,-24:10:21.4,252,16.4,LAS0*,478
NGC 2778,31.8,0.3,22.9,SBF,2001ApJ...546..681T,12:24.4,+35:01:38.9,189.1,43,E,1991
ESO 091- G 003,31.59,0.14,20.8,Sosies,2002A&A...393...57T,13:31.6,-63:37:35.1,281.4,-10.3,SAT2,1683
ESO 126- G 003,33.61,0.32,52.7,Sosies,2002A&A...393...57T,14:39.2,-60:26:02.9,279.1,-8,SBS4,2697
IC 0530,34.64,0.43,84.7,Sosies,2002A&A...393...57T,15:16.9,+11:53:08.4,218.6,37.3,S..2,4852
NGC 2835,29.67,...,8.6,Tully-Fisher,2003astro.ph.10284R,17:52.9,-22:21:16.8,251.4,18.5,SBT5,679
NGC 2835,30.04,...,10.2,Tully-Fisher,2003astro.ph.10284R,17:52.9,-22:21:16.8,251.4,18.5,SBT5,679
NGC 2835,30.37,...,11.9,Tully-Fisher,LEDA [Nov 2006],17:52.9,-22:21:16.8,251.4,18.5,SBT5,679
NGC 2787,29.37,0.36,7.48,SBF,2001ApJ...546..681T,19:18.6,+69:12:12.0,144,38,LBR+,797
LSBC D565-06,29.79,...,9.08,TRGB,2006AJ....131.1361K,19:30.0,+21:36:12.0,207.4,41.8,dI,410
